occurrenceID,identifier,dc:type,comments,dcterms:rights,CreateDate,captureDevice,resourceCreationTechnique,accessURI,dc:format,serviceExpectation
re_l_he_1_2023-08-13_0001_1,re_l_he_1_2023-08-13_0001.JPG,StillImage,,CC-BY4.0,2023-08-12T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-08-13_0001.JPG,image/jpeg,authenticate
re_l_he_1_2023-08-28_0002_1,re_l_he_1_2023-08-28_0002.JPG,StillImage,,CC-BY4.0,2023-08-27T22:22:47Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-08-28_0002.JPG,image/jpeg,authenticate
re_l_he_1_2023-09-02_0003_1,re_l_he_1_2023-09-02_0003.JPG,StillImage,,CC-BY4.0,2023-09-02T01:17:02Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-09-02_0003.JPG,image/jpeg,authenticate
re_l_he_1_2023-09-02_0020_1,re_l_he_1_2023-09-02_0020.JPG,StillImage,,CC-BY4.0,2023-09-02T19:32:55Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-09-02_0020.JPG,image/jpeg,authenticate
re_l_he_1_2023-09-15_0004_1,re_l_he_1_2023-09-15_0004.JPG,StillImage,,CC-BY4.0,2023-09-15T18:36:49Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-09-15_0004.JPG,image/jpeg,authenticate
re_l_he_1_2023-09-27_0002_1,re_l_he_1_2023-09-27_0002.JPG,StillImage,,CC-BY4.0,2023-09-27T10:10:05Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-09-27_0002.JPG,image/jpeg,authenticate
re_l_he_1_2023-09-28_0016_1,re_l_he_1_2023-09-28_0016.JPG,StillImage,,CC-BY4.0,2023-09-28T19:07:32Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-09-28_0016.JPG,image/jpeg,authenticate
re_l_he_1_2023-09-29_0009_1,re_l_he_1_2023-09-29_0009.JPG,StillImage,,CC-BY4.0,2023-09-29T09:43:40Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-09-29_0009.JPG,image/jpeg,authenticate
re_l_he_1_2023-10-03_0004_1,re_l_he_1_2023-10-03_0004.JPG,StillImage,,CC-BY4.0,2023-10-03T11:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-10-03_0004.JPG,image/jpeg,authenticate
re_l_he_1_2023-10-18_0050_1,re_l_he_1_2023-10-18_0050.JPG,StillImage,,CC-BY4.0,2023-10-18T04:22:07Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-10-18_0050.JPG,image/jpeg,authenticate
re_l_he_1_2023-10-18_0107_1,re_l_he_1_2023-10-18_0107.JPG,StillImage,,CC-BY4.0,2023-10-18T09:41:33Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-10-18_0107.JPG,image/jpeg,authenticate
re_l_he_1_2023-10-18_0139_1,re_l_he_1_2023-10-18_0139.JPG,StillImage,,CC-BY4.0,2023-10-18T15:17:00Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-10-18_0139.JPG,image/jpeg,authenticate
re_l_he_1_2023-11-16_0002_1,re_l_he_1_2023-11-16_0002.JPG,StillImage,,CC-BY4.0,2023-11-16T05:54:55Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-11-16_0002.JPG,image/jpeg,authenticate
re_l_he_1_2023-12-27_0001_1,re_l_he_1_2023-12-27_0001.JPG,StillImage,,CC-BY4.0,2023-12-26T23:00:00Z,,time lapse,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2023-12-27_0001.JPG,image/jpeg,authenticate
re_l_he_1_2024-01-01_0006_1,re_l_he_1_2024-01-01_0006.JPG,StillImage,,CC-BY4.0,2024-01-01T14:20:42Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-01-01_0006.JPG,image/jpeg,authenticate
re_l_he_1_2024-01-12_0007_1,re_l_he_1_2024-01-12_0007.JPG,StillImage,,CC-BY4.0,2024-01-12T08:50:50Z,,activity detection,national_monitoring/images_renamed/borgefjell/re_l_he_1/2024/re_l_he_1_2024-01-12_0007.JPG,image/jpeg,authenticate
