type,license,rightsHolder,datasetID,collectionCode,datasetName,basisOfRecord,dataGeneralizations,occurrenceID,individualCount,sex,lifeStage,behavior,occurrenceStatus,occurrenceRemarks,organismID,eventID,parentEventID,eventDate,habitat,samplingProtocol,samplingEffort,eventRemarks,locationID,locality,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,identifiedBy,dateIdentified,identificationVerificationStatus,identificationRemarks,taxonID,scientificName,kingdom
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-08-11_0003,,,,,present,,,re_l_he_1_motion_sensor_2,re_l_he_1,2023-08-11T20:16:05Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.7351408004761% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-08-11_0004,,,,,present,,,re_l_he_1_motion_sensor_2,re_l_he_1,2023-08-11T20:16:05Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9996662139893% certainty,,Cricetidae,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-08-28_0001,,,,,present,,,re_l_he_1_motion_sensor_3,re_l_he_1,2023-08-27T22:22:47Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 98.9591181278229% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-08-28_0002,,,,,present,,,re_l_he_1_motion_sensor_3,re_l_he_1,2023-08-27T22:22:47Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9992728233337% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-01_0005,,,,,present,,,re_l_he_1_motion_sensor_5,re_l_he_1,2023-09-01T20:15:30Z/2023-09-01T20:15:31Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9998450279236% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-01_0006,,,,,present,,,re_l_he_1_motion_sensor_5,re_l_he_1,2023-09-01T20:15:30Z/2023-09-01T20:15:31Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9981760978699% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-01_0007,,,,,present,,,re_l_he_1_motion_sensor_6,re_l_he_1,2023-09-01T20:19:21Z/2023-09-01T20:19:22Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.7132062911987% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-01_0008,,,,,present,,,re_l_he_1_motion_sensor_6,re_l_he_1,2023-09-01T20:19:21Z/2023-09-01T20:19:22Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.9153137207031% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0004,,,,,present,,,re_l_he_1_motion_sensor_8,re_l_he_1,2023-09-02T04:21:24Z/2023-09-02T04:21:25Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.976247549057% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0005,,,,,present,,,re_l_he_1_motion_sensor_8,re_l_he_1,2023-09-02T04:21:24Z/2023-09-02T04:21:25Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 100% certainty,,Sorex spp.,Animalia
Image,CC-BY-4.0,,,,Camera trap based small rodent monitoring: Data from Norwegian alpine tundra,MachineObservation,,re_l_he_1_2023-09-02_0006,,,,,present,,,re_l_he_1_motion_sensor_9,re_l_he_1,2023-09-02T06:53:31Z/2023-09-02T06:53:32Z,heath,camera trap,2023-08-09T13:23:15Z/2024-08-14T12:36:32Z,camera trap without bait,,borgefjell,,,0.15,0.15,65.181351006031,14.2530530132353,EPSG:4326,,,Small_mammal_classification_model_version_2025,,,classified by a machine with 99.8199462890625% certainty,,Sorex spp.,Animalia
