deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
re_l_he_1,low_alpine_zone,borgefjell,65.181351006031,14.2530530132353,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,heath,,,
re_l_he_2,low_alpine_zone,borgefjell,65.1822880189866,14.2465019691736,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,heath,,,
re_l_he_3,low_alpine_zone,borgefjell,65.190851977095,14.2288240324706,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,heath,,,
re_l_he_4,low_alpine_zone,borgefjell,65.193278035149,14.2554179672152,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,heath,,,
re_l_he_5,low_alpine_zone,borgefjell,65.1990980096161,14.2785019800067,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,heath,,,
re_l_he_6,low_alpine_zone,borgefjell,65.1875869743526,14.2321219760925,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,heath,,,
re_l_hu_1,low_alpine_zone,borgefjell,65.1830510236323,14.2390210367739,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_l_hu_2,low_alpine_zone,borgefjell,65.1857810094953,14.2246240284294,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_l_hu_3,low_alpine_zone,borgefjell,65.1901540160179,14.2406120058149,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_l_hu_4,low_alpine_zone,borgefjell,65.1962360087782,14.2721619922668,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_l_hu_5,low_alpine_zone,borgefjell,65.1991469599307,14.2717640195042,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_l_hu_6,low_alpine_zone,borgefjell,65.1965649984777,14.2781470064074,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_l_sn_1,low_alpine_zone,borgefjell,65.1792370062321,14.2332699615508,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_l_sn_2,low_alpine_zone,borgefjell,65.1774720288813,14.2436819616705,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_l_sn_3,low_alpine_zone,borgefjell,65.1784429885447,14.2509380076081,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_l_sn_4,low_alpine_zone,borgefjell,65.191909018904,14.2480849754065,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_l_sn_5,low_alpine_zone,borgefjell,65.1943579595536,14.2624710034579,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_l_sn_6,low_alpine_zone,borgefjell,65.186752974987,14.2378710396588,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_m_hu_1,middle_alpine_zone,borgefjell,65.2192139904946,14.1813599970192,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_m_hu_2,middle_alpine_zone,borgefjell,65.2137370035052,14.1854460071772,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_m_hu_3,middle_alpine_zone,borgefjell,65.2123099844903,14.1938060335815,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_m_hu_4,middle_alpine_zone,borgefjell,65.209870012477,14.1932990122586,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_m_hu_5,middle_alpine_zone,borgefjell,65.2073820121586,14.1960689797997,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_m_hu_6,middle_alpine_zone,borgefjell,65.1990010309964,14.1649889666587,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,hummock_mire,,,
re_m_sn_1,middle_alpine_zone,borgefjell,65.2222400251776,14.1760809905827,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_m_sn_2,middle_alpine_zone,borgefjell,65.2147740125656,14.1937620285898,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_m_sn_3,middle_alpine_zone,borgefjell,65.2053380012512,14.1914290096611,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_m_sn_4,middle_alpine_zone,borgefjell,65.2038580086082,14.1840569581836,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_m_sn_5,middle_alpine_zone,borgefjell,65.2025289740413,14.1778649948537,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
re_m_sn_6,middle_alpine_zone,borgefjell,65.2001459989697,14.1701359581202,,2023-08-09T09:34:15Z,2024-08-16T19:01:24Z,,,,60,,,-90,,,,FALSE,,snowbed,,,
