observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
re_l_he_1_2023-08-09_0001,re_l_he_1,re_l_he_1_2023-08-09_0001.JPG,re_l_he_1_motion_sensor_1,2023-08-09T13:23:15Z,2023-08-09T13:23:16Z,media,unknown,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999998569488525,,
re_l_he_1_2023-08-09_0002,re_l_he_1,re_l_he_1_2023-08-09_0002.JPG,re_l_he_1_motion_sensor_1,2023-08-09T13:23:15Z,2023-08-09T13:23:16Z,media,unknown,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999998927116394,,
re_l_he_1_2023-08-10_0001,re_l_he_1,re_l_he_1_2023-08-10_0001.JPG,re_l_he_1_time_lapse_1,2023-08-09T23:00:00Z,2023-08-09T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999996066093445,,
re_l_he_1_2023-08-10_0002,re_l_he_1,re_l_he_1_2023-08-10_0002.JPG,re_l_he_1_time_lapse_2,2023-08-10T11:00:00Z,2023-08-10T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999996066093445,,
re_l_he_1_2023-08-11_0001,re_l_he_1,re_l_he_1_2023-08-11_0001.JPG,re_l_he_1_time_lapse_3,2023-08-10T23:00:00Z,2023-08-10T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994158744812,,
re_l_he_1_2023-08-11_0002,re_l_he_1,re_l_he_1_2023-08-11_0002.JPG,re_l_he_1_time_lapse_4,2023-08-11T11:00:00Z,2023-08-11T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999994158744812,,
re_l_he_1_2023-08-11_0003,re_l_he_1,re_l_he_1_2023-08-11_0003.JPG,re_l_he_1_motion_sensor_2,2023-08-11T20:16:05Z,2023-08-11T20:16:05Z,media,animal,,Cricetidae,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.997351408004761,,
re_l_he_1_2023-08-11_0004,re_l_he_1,re_l_he_1_2023-08-11_0004.JPG,re_l_he_1_motion_sensor_2,2023-08-11T20:16:05Z,2023-08-11T20:16:05Z,media,animal,,Cricetidae,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999996662139893,,
re_l_he_1_2023-08-12_0001,re_l_he_1,re_l_he_1_2023-08-12_0001.JPG,re_l_he_1_time_lapse_5,2023-08-11T23:00:00Z,2023-08-11T23:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999993562698364,,
re_l_he_1_2023-08-12_0002,re_l_he_1,re_l_he_1_2023-08-12_0002.JPG,re_l_he_1_time_lapse_6,2023-08-12T11:00:00Z,2023-08-12T11:00:00Z,media,blank,,,,,,,,,,,,,,,machine,Small_mammal_classification_model_version_2025,,0.999990224838257,,
