lat;lon;ele;name;habitat;zone;region
60.568523984402418;7.575701968744397;1192.838501;FI-L-HE-1;HE;L;Finse
60.568881975486875;7.581654964014888;1233.344482;FI-L-HE-2;HE;L;Finse
60.575801990926266;7.576818019151688;1228.8076169999999;FI-L-HE-3;HE;L;Finse
60.574735980480909;7.568375011906028;1171.245361;FI-L-HE-4;HE;L;Finse
60.572204980999231;7.560643963515759;1168.6483149999999;FI-L-HE-5;HE;L;Finse
60.583576038479805;7.569928010925651;1228.239746;FI-L-HE-6;HE;L;Finse
60.571488998830318;7.57907903753221;1231.643677;FI-L-HU-1;HU;L;Finse
60.572708984836936;7.56547998636961;1170.849487;FI-L-HU-2;HU;L;Finse
60.571425966918468;7.553371991962194;1200.4832759999999;FI-L-HU-3;HU;L;Finse
60.573524963110685;7.553639961406589;1217.381836;FI-L-HU-4;HU;L;Finse
60.567307015880942;7.56339599378407;1194.494629;FI-L-HU-5;HU;L;Finse
60.583172030746937;7.564008962363005;1200.9620359999999;FI-L-HU-6;HU;L;Finse
60.571458991616964;7.570230010896921;1184.1240230000001;FI-L-SN-1;SN;L;Finse
60.573506020009518;7.577167041599751;1219.924072;FI-L-SN-2;SN;L;Finse
60.577392037957907;7.566362014040351;1189.3862300000001;FI-L-SN-3;SN;L;Finse
60.572542017325759;7.546282997354865;1231.103394;FI-L-SN-4;SN;L;Finse
60.571070993319154;7.547946972772479;1235.8773189999999;FI-L-SN-5;SN;L;Finse
60.569480024278164;7.556787030771375;1202.084717;FI-L-SN-6;SN;L;Finse
60.614251038059592;7.437024973332882;1280.173096;FI-M-HU-1;HU;M;Finse
60.61487297527492;7.44520403444767;1303.387573;FI-M-HU-2;HU;M;Finse
60.611994965001941;7.453145971521735;1315.8752440000001;FI-M-HU-3;HU;M;Finse
60.611045965924859;7.456902991980314;1350.3773189999999;FI-M-HU-4;HU;M;Finse
60.60790903866291;7.458973992615938;1346.5844729999999;FI-M-HU-5;HU;M;Finse
60.610268041491508;7.464101035147905;1395.6416019999999;FI-M-HU-6;HU;M;Finse
60.616050967946649;7.438757009804249;1327.9887699999999;FI-M-SN-1;SN;M;Finse
60.61641700565815;7.433556038886309;1323.9636230000001;FI-M-SN-2;SN;M;Finse
60.616782959550619;7.448720997199416;1367.259155;FI-M-SN-3;SN;M;Finse
60.614887978881598;7.451892960816622;1331.169312;FI-M-SN-4;SN;M;Finse
60.609117038547993;7.451744014397264;1296.4228519999999;FI-M-SN-5;SN;M;Finse
60.606382023543119;7.465834999457002;1375.2100829999999;FI-M-SN-6;SN;M;Finse
65.181351006031036;14.253053013235331;869.77465800000004;RE-L-HE-1;HE;L;Reinfjella
65.182288018986583;14.246501969173551;857.71081500000003;RE-L-HE-2;HE;L;Reinfjella
65.190851977095008;14.228824032470584;868.02508499999999;RE-L-HE-3;HE;L;Reinfjella
65.193278035148978;14.25541796721518;846.17108199999996;RE-L-HE-4;HE;L;Reinfjella
65.199098009616137;14.278501980006695;849.40948500000002;RE-L-HE-5;HE;L;Reinfjella
